County,State,White_Non_Hispanic,Black,Native_American,Asian,Pacific_Islander,Some_Other_Race,Mixed,Hispanic
Wilkes,Georgia,4952,3838,22,59,0,18,277,399
Wilkinson,Georgia,5110,3163,30,22,3,13,297,239
Worth,Georgia,14427,5255,49,87,8,53,524,381
Ohio,Indiana,5629,16,4,29,0,16,167,79
Ohio,Kentucky,21872,155,26,45,2,54,625,993
Alcona,Michigan,9593,23,57,14,1,27,330,122
Alger,Michigan,7323,585,327,22,1,25,444,115
Allegan,Michigan,103088,1446,561,839,20,433,4726,9389
Alpena,Michigan,27006,99,120,112,12,67,1074,417
Antrim,Michigan,21743,39,192,70,18,55,855,459
Arenac,Michigan,13919,35,126,38,1,25,588,270
Baraga,Michigan,5753,598,1083,15,3,22,582,102
Barry,Michigan,56779,295,221,245,15,198,2528,2142
Bay,Michigan,90811,1598,359,538,0,257,4363,5930
Benzie,Michigan,16597,56,164,71,0,65,626,391
Berrien,Michigan,111603,21199,740,3159,109,668,7628,9210
Branch,Michigan,39025,1124,132,266,10,135,1587,2583
Calhoun,Michigan,100385,14275,683,3715,29,553,7244,7426
Cass,Michigan,43309,2272,521,316,11,218,2781,2161
Charlevoix,Michigan,23881,74,367,122,10,114,1061,425
Cheboygan,Michigan,22872,89,687,85,1,65,1439,341
Chippewa,Michigan,24544,2611,5601,193,12,87,2980,757
Clare,Michigan,28628,140,181,72,0,88,1126,621
Clinton,Michigan,67915,1640,234,1870,23,241,3265,3940
Crawford,Michigan,12026,57,83,55,4,29,442,292
Delta,Michigan,33441,93,818,153,8,82,1765,543
Dickinson,Michigan,24198,61,117,147,4,43,937,440
Eaton,Michigan,87200,7463,307,2444,13,346,4875,6527
Emmet,Michigan,30359,159,1074,173,22,97,1636,592
Genesee,Michigan,283483,79080,1391,4041,116,1390,20451,16259
Gladwin,Michigan,23830,68,95,72,0,45,794,482
Gogebic,Michigan,12981,65,512,35,3,36,526,222
Grand Traverse,Michigan,85543,583,878,813,41,289,4081,3010
Gratiot,Michigan,34812,2195,156,161,28,96,1160,3153
Hillsdale,Michigan,42145,196,143,176,6,137,1771,1172
Houghton,Michigan,33854,280,159,855,21,151,1372,669
Huron,Michigan,29508,77,77,150,5,42,708,840
Ingham,Michigan,191551,34446,953,16424,110,1451,15543,24422
Ionia,Michigan,57617,3210,246,229,5,121,2012,3364
Iosco,Michigan,23244,164,124,153,3,56,883,610
Iron,Michigan,10823,24,93,41,0,34,410,206
Isabella,Michigan,52970,2076,2025,1116,17,182,3002,3006
Jackson,Michigan,131097,12385,515,1475,30,473,8207,6184
Kalamazoo,Michigan,193428,29686,819,6983,57,1367,14554,14776
Kalkaska,Michigan,16523,40,139,60,0,59,763,355
Kent,Michigan,465491,62359,1818,21799,175,2331,28773,75228
Keweenaw,Michigan,1948,4,1,0,0,5,61,27
Lake,Michigan,9360,795,65,45,8,24,604,1195
Lapeer,Michigan,78871,966,277,396,8,250,3607,4244
Leelanau,Michigan,19781,64,577,106,4,58,794,917
Lenawee,Michigan,83126,2437,342,476,8,299,4241,8494
Livingston,Michigan,176756,1117,512,1626,113,567,7672,5503
Luce,Michigan,4514,12,365,2,0,10,362,74
Mackinac,Michigan,8015,56,1682,28,0,34,852,167
Macomb,Michigan,665241,108532,1766,38244,193,2939,38088,26214
Manistee,Michigan,21836,606,487,79,2,57,1135,830
Marquette,Michigan,59038,790,1011,400,17,178,3239,1344
Mason,Michigan,25944,167,219,154,8,81,1189,1290
Mecosta,Michigan,35521,772,190,312,14,118,1761,1026
Menominee,Michigan,21325,98,727,94,5,33,734,486
Midland,Michigan,73825,942,293,1710,83,320,3662,2659
Missaukee,Michigan,13940,33,48,43,1,23,465,499
Monroe,Michigan,135369,4036,414,952,24,490,7293,6231
Montcalm,Michigan,58880,2118,212,225,23,136,2323,2697
Montmorency,Michigan,8551,12,68,24,0,34,339,125
Muskegon,Michigan,130141,23622,1106,1073,31,537,9031,10283
Newaygo,Michigan,43915,424,256,189,14,126,2085,2969
Oakland,Michigan,879137,168797,2236,105665,304,5230,52188,60838
Oceana,Michigan,21191,123,195,69,4,79,890,4108
Ogemaw,Michigan,19268,59,108,57,8,58,775,437
Ontonagon,Michigan,5434,8,60,20,2,10,214,68
Osceola,Michigan,21188,155,142,34,6,61,905,400
Oscoda,Michigan,7684,8,34,5,0,11,323,154
Otsego,Michigan,23156,100,151,91,0,60,1087,446
Ottawa,Michigan,241520,5071,726,7895,95,851,10660,29382
Presque Isle,Michigan,12282,28,67,52,0,26,373,154
Roscommon,Michigan,21883,60,94,76,10,47,855,434
Saginaw,Michigan,128722,33548,462,2373,85,769,7261,16904
St. Clair,Michigan,142396,3773,561,809,13,443,6883,5505
St. Joseph,Michigan,50674,1341,151,414,9,174,2749,5427
Sanilac,Michigan,37209,151,112,84,2,98,1281,1674
Schoolcraft,Michigan,6727,10,699,15,1,5,494,96
Shiawassee,Michigan,62239,319,223,288,19,188,2794,2024
Tuscola,Michigan,48611,402,174,155,12,132,2029,1808
Van Buren,Michigan,59400,2348,552,384,27,285,3625,8966
Washtenaw,Michigan,252220,42125,715,33517,183,2051,20716,20731
Wayne,Michigan,857132,669277,4265,64604,322,7974,72338,117649
