County,State,FIPS,Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US (of 3143 counties)
MILWAUKEE,Wisconsin,55079.0,33.1,205336.0,480
BAYFIELD,Wisconsin,55007.0,33.6,4211.0,459
PORTAGE,Wisconsin,55097.0,33.6,15396.0,456
WASHINGTON,Wisconsin,55131.0,33.9,33041.0,437
DOOR,Wisconsin,55029.0,35.3,8280.0,384
EAU CLAIRE,Wisconsin,55035.0,35.4,23827.0,376
LA CROSSE,Wisconsin,55063.0,35.8,27960.0,353
ST. CROIX,Wisconsin,55109.0,37.8,24132.0,298
WAUKESHA,Wisconsin,55133.0,47.2,136729.0,111
OZAUKEE,Wisconsin,55089.0,49.8,32105.0,81
COOS,New Hampshire,33007.0,20.4,5003.0,"1,659"
SULLIVAN,New Hampshire,33019.0,30.1,9843.0,654
BELKNAP,New Hampshire,33001.0,31.9,15327.0,548
CHESHIRE,New Hampshire,33005.0,34.4,18749.0,422
MERRIMACK,New Hampshire,33013.0,36.8,40799.0,320
CARROLL,New Hampshire,33003.0,37.5,15014.0,303
STRAFFORD,New Hampshire,33017.0,38.7,34019.0,264
HILLSBOROUGH,New Hampshire,33011.0,40.2,121391.0,226
GRAFTON,New Hampshire,33009.0,43.3,28201.0,170
MONROE,Ohio,39111.0,10.7,1037.0,"3,064"
HOLMES,Ohio,39075.0,11.1,2911.0,"3,039"
MORGAN,Ohio,39115.0,11.2,1114.0,"3,029"
MEIGS,Ohio,39105.0,11.5,1816.0,"2,999"
HARRISON,Ohio,39067.0,11.7,1230.0,"2,973"
NOBLE,Ohio,39121.0,13.1,1416.0,"2,852"
CARROLL,Ohio,39019.0,13.5,2585.0,"2,824"
MARION,Ohio,39101.0,13.5,6212.0,"2,823"
FAYETTE,Ohio,39047.0,13.7,2720.0,"2,800"
PIKE,Ohio,39131.0,14.0,2602.0,"2,766"
WILLIAMS,Ohio,39171.0,14.4,3717.0,"2,695"
BROWN,Ohio,39015.0,14.5,4435.0,"2,681"
HOCKING,Ohio,39073.0,14.7,2933.0,"2,646"
CRAWFORD,Ohio,39033.0,14.8,4344.0,"2,644"
PERRY,Ohio,39127.0,14.8,3616.0,"2,636"
GUERNSEY,Ohio,39059.0,14.9,4010.0,"2,616"
HIGHLAND,Ohio,39071.0,15.2,4492.0,"2,585"
ADAMS,Ohio,39001.0,15.2,2860.0,"2,577"
PAULDING,Ohio,39125.0,15.4,2004.0,"2,539"
VINTON,Ohio,39163.0,15.4,1398.0,"2,534"
HURON,Ohio,39077.0,15.5,6203.0,"2,519"
ASHTABULA,Ohio,39007.0,15.7,10765.0,"2,496"
JACKSON,Ohio,39079.0,15.9,3547.0,"2,462"
DARKE,Ohio,39037.0,16.3,5755.0,"2,395"
COLUMBIANA,Ohio,39029.0,16.5,12129.0,"2,364"
COSHOCTON,Ohio,39031.0,16.5,4164.0,"2,359"
ROSS,Ohio,39141.0,16.5,9035.0,"2,356"
MORROW,Ohio,39117.0,16.9,4154.0,"2,295"
VAN WERT,Ohio,39161.0,17.2,3423.0,"2,246"
BELMONT,Ohio,39013.0,17.4,8516.0,"2,210"
SCIOTO,Ohio,39145.0,17.6,9019.0,"2,188"
RICHLAND,Ohio,39139.0,17.8,15488.0,"2,157"
HENRY,Ohio,39069.0,18.1,3462.0,"2,094"
CHAMPAIGN,Ohio,39021.0,18.1,4938.0,"2,092"
LAWRENCE,Ohio,39087.0,18.2,7421.0,"2,087"
GALLIA,Ohio,39053.0,18.2,3632.0,"2,081"
FULTON,Ohio,39051.0,18.3,5339.0,"2,056"
SANDUSKY,Ohio,39143.0,18.3,7617.0,"2,037"
HARDIN,Ohio,39065.0,18.5,3438.0,"2,002"
CLARK,Ohio,39023.0,18.6,17456.0,"1,971"
